date,dailyDoublingRate,numberOfDoublingDays
2020-10-29T00:00:00.000Z,-7.364192807957148,-9.06140694620835
2020-10-30T00:00:00.000Z,-3.551517654346481,-19.16826674679162
2020-10-31T00:00:00.000Z,-0.3853564547206312,-179.5248967444742
2020-11-01T00:00:00.000Z,1.1175585643670831,62.36927455152366
2020-11-02T00:00:00.000Z,-2.0191285866099857,-33.98127434105385
2020-11-03T00:00:00.000Z,-0.9110629067245135,-75.73405256659323
2020-11-04T00:00:00.000Z,0.9851138353765387,70.70814781379276
2020-11-05T00:00:00.000Z,-1.647517884240191,-41.7246766325174
2020-11-06T00:00:00.000Z,0.30857394754242323,224.9755926397497
2020-11-07T00:00:00.000Z,-0.3515710832783903,-196.8102741470501
2020-11-08T00:00:00.000Z,-2.734288864388101,-25.00200620868981
2020-11-09T00:00:00.000Z,-1.5869417365676712,-43.33067688676951
2020-11-10T00:00:00.000Z,-3.9161483529140617,-17.35083605334201
2020-11-11T00:00:00.000Z,-0.07192519779429807,-963.3590148874554
2020-11-12T00:00:00.000Z,6.38195777351247,11.20404334883696
2020-11-13T00:00:00.000Z,1.556156968876876,44.88792220397614
2020-11-14T00:00:00.000Z,1.7765933821896291,39.3610783298862
2020-11-15T00:00:00.000Z,2.007418721361565,34.87470303595072
2020-11-16T00:00:00.000Z,3.294117647058825,21.38666951522498
2020-11-17T00:00:00.000Z,3.1890660592255093,22.07987546773226
2020-11-18T00:00:00.000Z,0.5819787276740929,119.448045322527
2020-11-19T00:00:00.000Z,-1.31683958499601,-52.28983752552682
2020-11-20T00:00:00.000Z,0.24262029923172168,286.0385965378408
2020-11-21T00:00:00.000Z,2.642194433239209,26.57883609445858
2020-11-22T00:00:00.000Z,2.672430732953424,26.28200611381659
2020-11-23T00:00:00.000Z,1.6459330143540511,42.45835175013129
2020-11-24T00:00:00.000Z,0.527207682169073,131.8214368616055
2020-11-25T00:00:00.000Z,5.3193481925454265,13.37425894441003
2020-11-26T00:00:00.000Z,5.637560021340904,12.63856861104862
2020-11-27T00:00:00.000Z,4.393939393939395,16.1191635709505
2020-11-28T00:00:00.000Z,2.564102564102555,27.37785123380575
2020-11-29T00:00:00.000Z,4.1194968553459175,17.17025737326236
2020-11-30T00:00:00.000Z,4.500151011778919,15.74678486474437
2020-12-01T00:00:00.000Z,4.92774566473988,14.41000780813766
2020-12-02T00:00:00.000Z,7.010053711609987,10.23056148144145
2020-12-03T00:00:00.000Z,4.684684684684681,15.13995552775389
2020-12-04T00:00:00.000Z,5.9257437914925095,12.04046669633733
2020-12-05T00:00:00.000Z,4.863045496750229,14.59718671875218
2020-12-06T00:00:00.000Z,3.7520752628666285,18.81814742972487
2020-12-07T00:00:00.000Z,6.4113505440580365,11.15423505473138
2020-12-08T00:00:00.000Z,5.684210526315781,12.53763630218289
2020-12-09T00:00:00.000Z,2.646556630620367,26.53559372698613
