dayDate,ageGroup,isolated,isolatedNormalized,avgIsolatedAmount7Days
2020-06-17T00:00:00.000Z,16-19,,,135
2020-06-18T00:00:00.000Z,0-4,,,52
2020-06-18T00:00:00.000Z,5-11,,,211
2020-06-18T00:00:00.000Z,12-15,,,131
2020-06-18T00:00:00.000Z,16-19,,,147
2020-06-19T00:00:00.000Z,0-4,,,52
2020-06-19T00:00:00.000Z,5-11,,,209
2020-06-19T00:00:00.000Z,12-15,,,132
2020-06-19T00:00:00.000Z,16-19,,,176
2020-06-20T00:00:00.000Z,0-4,,,51
2020-06-20T00:00:00.000Z,5-11,,,226
2020-06-20T00:00:00.000Z,12-15,,,130
2020-06-20T00:00:00.000Z,16-19,,,189
2020-06-21T00:00:00.000Z,0-4,,,50
2020-06-21T00:00:00.000Z,5-11,,,238
2020-06-21T00:00:00.000Z,12-15,,,139
2020-06-21T00:00:00.000Z,16-19,,,191
2020-06-22T00:00:00.000Z,0-4,,,49
2020-06-22T00:00:00.000Z,5-11,,,249
2020-06-22T00:00:00.000Z,12-15,,,150
2020-06-22T00:00:00.000Z,16-19,,,187
2020-06-23T00:00:00.000Z,0-4,,,54
2020-06-23T00:00:00.000Z,5-11,,,261
2020-06-23T00:00:00.000Z,12-15,,,157
2020-06-23T00:00:00.000Z,16-19,,,208
2020-06-24T00:00:00.000Z,0-4,,,59
2020-06-24T00:00:00.000Z,5-11,,,297
2020-06-24T00:00:00.000Z,12-15,,,176
2020-06-24T00:00:00.000Z,16-19,,,238
2020-06-25T00:00:00.000Z,0-4,,,63
2020-06-25T00:00:00.000Z,5-11,,,335
2020-06-25T00:00:00.000Z,12-15,,,175
2020-06-25T00:00:00.000Z,16-19,,,255
2020-06-26T00:00:00.000Z,0-4,,,65
2020-06-26T00:00:00.000Z,5-11,,,356
2020-06-26T00:00:00.000Z,12-15,,,169
2020-06-26T00:00:00.000Z,16-19,,,237
2020-06-27T00:00:00.000Z,0-4,,,67
2020-06-27T00:00:00.000Z,5-11,,,342
2020-06-27T00:00:00.000Z,12-15,,,163
2020-06-27T00:00:00.000Z,16-19,,,244
2020-06-28T00:00:00.000Z,0-4,,,77
2020-06-28T00:00:00.000Z,5-11,,,360
