dayDate,ageGroup,verifiedNormalized,avgVerifiedAmount7Days
2020-06-01T00:00:00.000Z,5-11,0.81,4
2020-06-01T00:00:00.000Z,12-15,1.1,19
2020-06-01T00:00:00.000Z,16-19,2.19,6
2020-06-02T00:00:00.000Z,0-4,0.87,3
2020-06-02T00:00:00.000Z,5-11,0.65,4
2020-06-02T00:00:00.000Z,12-15,1.73,21
2020-06-02T00:00:00.000Z,16-19,1.01,7
2020-06-03T00:00:00.000Z,0-4,0.33,3
2020-06-03T00:00:00.000Z,5-11,0.89,5
2020-06-03T00:00:00.000Z,12-15,1.41,21
2020-06-03T00:00:00.000Z,16-19,1.01,7
2020-06-04T00:00:00.000Z,0-4,0.87,3
2020-06-04T00:00:00.000Z,5-11,0.97,7
2020-06-04T00:00:00.000Z,12-15,2.51,22
2020-06-04T00:00:00.000Z,16-19,0.84,7
2020-06-05T00:00:00.000Z,0-4,0.98,4
2020-06-05T00:00:00.000Z,5-11,1.05,9
2020-06-05T00:00:00.000Z,12-15,2.51,14
2020-06-05T00:00:00.000Z,16-19,1.18,6
2020-06-06T00:00:00.000Z,0-4,0.33,5
2020-06-06T00:00:00.000Z,5-11,0.81,10
2020-06-06T00:00:00.000Z,12-15,1.26,13
2020-06-06T00:00:00.000Z,16-19,0.34,6
2020-06-07T00:00:00.000Z,0-4,0.66,6
2020-06-07T00:00:00.000Z,5-11,0.97,10
2020-06-07T00:00:00.000Z,12-15,1.1,10
2020-06-07T00:00:00.000Z,16-19,1.35,6
2020-06-08T00:00:00.000Z,0-4,1.2,6
2020-06-08T00:00:00.000Z,5-11,1.78,12
2020-06-08T00:00:00.000Z,12-15,2.51,11
2020-06-08T00:00:00.000Z,16-19,1.01,5
2020-06-09T00:00:00.000Z,0-4,1.64,7
2020-06-09T00:00:00.000Z,5-11,2.1,15
2020-06-09T00:00:00.000Z,12-15,2.36,12
2020-06-09T00:00:00.000Z,16-19,1.18,5
2020-06-10T00:00:00.000Z,0-4,0.77,8
2020-06-10T00:00:00.000Z,5-11,2.18,17
2020-06-10T00:00:00.000Z,12-15,2.67,13
2020-06-10T00:00:00.000Z,16-19,3.71,8
2020-06-11T00:00:00.000Z,0-4,1.64,9
2020-06-11T00:00:00.000Z,5-11,2.42,20
2020-06-11T00:00:00.000Z,12-15,3.46,14
2020-06-11T00:00:00.000Z,16-19,1.69,8
2020-06-12T00:00:00.000Z,0-4,0.87,9
2020-06-12T00:00:00.000Z,5-11,1.53,20
2020-06-12T00:00:00.000Z,12-15,2.36,14
2020-06-12T00:00:00.000Z,16-19,2.03,9
2020-06-13T00:00:00.000Z,0-4,0.98,10
2020-06-13T00:00:00.000Z,5-11,2.26,23
2020-06-13T00:00:00.000Z,12-15,2.04,15
2020-06-13T00:00:00.000Z,16-19,2.03,11
2020-06-14T00:00:00.000Z,0-4,0.44,9
2020-06-14T00:00:00.000Z,5-11,1.13,23
2020-06-14T00:00:00.000Z,12-15,0.63,14
2020-06-14T00:00:00.000Z,16-19,0.51,10
2020-06-15T00:00:00.000Z,0-4,1.2,9
2020-06-15T00:00:00.000Z,5-11,1.53,23
2020-06-15T00:00:00.000Z,12-15,2.36,14
2020-06-15T00:00:00.000Z,16-19,2.53,11
2020-06-16T00:00:00.000Z,0-4,2.19,10
2020-06-16T00:00:00.000Z,5-11,2.1,23
2020-06-16T00:00:00.000Z,12-15,3.93,15
2020-06-16T00:00:00.000Z,16-19,3.88,13
2020-06-17T00:00:00.000Z,0-4,0.44,10
2020-06-17T00:00:00.000Z,5-11,1.37,21
2020-06-17T00:00:00.000Z,12-15,3.61,16
2020-06-17T00:00:00.000Z,16-19,3.71,13
2020-06-18T00:00:00.000Z,0-4,1.53,10
2020-06-18T00:00:00.000Z,5-11,1.21,19
2020-06-18T00:00:00.000Z,12-15,4.24,17
2020-06-18T00:00:00.000Z,16-19,4.56,16
2020-06-19T00:00:00.000Z,0-4,0.98,10
2020-06-19T00:00:00.000Z,5-11,2.02,20
2020-06-19T00:00:00.000Z,12-15,2.83,17
2020-06-19T00:00:00.000Z,16-19,4.22,18
2020-06-20T00:00:00.000Z,0-4,0.22,9
2020-06-20T00:00:00.000Z,5-11,0.56,17
2020-06-20T00:00:00.000Z,12-15,2.04,17
2020-06-20T00:00:00.000Z,16-19,2.87,18
2020-06-21T00:00:00.000Z,0-4,0.77,9
2020-06-21T00:00:00.000Z,5-11,1.37,18
2020-06-21T00:00:00.000Z,12-15,1.57,18
2020-06-21T00:00:00.000Z,16-19,2.19,20
2020-06-22T00:00:00.000Z,0-4,1.2,9
2020-06-22T00:00:00.000Z,5-11,2.42,19
2020-06-22T00:00:00.000Z,12-15,5.03,21
2020-06-22T00:00:00.000Z,16-19,5.74,23
2020-06-23T00:00:00.000Z,0-4,1.75,9
2020-06-23T00:00:00.000Z,5-11,2.74,20
2020-06-23T00:00:00.000Z,12-15,8.33,25
2020-06-23T00:00:00.000Z,16-19,7.93,26
2020-06-24T00:00:00.000Z,0-4,1.53,10
2020-06-24T00:00:00.000Z,5-11,2.91,23
2020-06-24T00:00:00.000Z,12-15,7.86,29
2020-06-24T00:00:00.000Z,16-19,7.59,29
2020-06-25T00:00:00.000Z,0-4,1.75,10
2020-06-25T00:00:00.000Z,5-11,2.74,26
2020-06-25T00:00:00.000Z,12-15,5.5,30
2020-06-25T00:00:00.000Z,16-19,6.92,31
2020-06-26T00:00:00.000Z,0-4,2.08,12
2020-06-26T00:00:00.000Z,5-11,2.66,27
2020-06-26T00:00:00.000Z,12-15,9.11,35
2020-06-26T00:00:00.000Z,16-19,8.27,35
2020-06-27T00:00:00.000Z,0-4,2.19,14
2020-06-27T00:00:00.000Z,5-11,1.86,29
2020-06-27T00:00:00.000Z,12-15,5.97,39
2020-06-27T00:00:00.000Z,16-19,5.4,37
2020-06-28T00:00:00.000Z,0-4,0.98,15
2020-06-28T00:00:00.000Z,5-11,2.34,31
2020-06-28T00:00:00.000Z,12-15,3.14,40
2020-06-28T00:00:00.000Z,16-19,4.22,39
2020-06-29T00:00:00.000Z,0-4,2.73,17
2020-06-29T00:00:00.000Z,5-11,5.65,37
2020-06-29T00:00:00.000Z,12-15,9.58,45
2020-06-29T00:00:00.000Z,16-19,12.83,45
2020-06-30T00:00:00.000Z,0-4,2.73,18
2020-06-30T00:00:00.000Z,5-11,5.41,41
2020-06-30T00:00:00.000Z,12-15,8.17,44
2020-06-30T00:00:00.000Z,16-19,14.68,50
2020-07-01T00:00:00.000Z,0-4,2.84,20
2020-07-01T00:00:00.000Z,5-11,4.84,45
2020-07-01T00:00:00.000Z,12-15,8.8,45
2020-07-01T00:00:00.000Z,16-19,19.58,60
2020-07-02T00:00:00.000Z,0-4,4.26,23
2020-07-02T00:00:00.000Z,5-11,6.38,51
2020-07-02T00:00:00.000Z,12-15,11.63,51
2020-07-02T00:00:00.000Z,16-19,24.47,75
2020-07-03T00:00:00.000Z,0-4,3.94,25
2020-07-03T00:00:00.000Z,5-11,5.57,56
2020-07-03T00:00:00.000Z,12-15,8.96,51
2020-07-03T00:00:00.000Z,16-19,18.73,84
2020-07-04T00:00:00.000Z,0-4,3.17,27
2020-07-04T00:00:00.000Z,5-11,5.49,63
2020-07-04T00:00:00.000Z,12-15,9.11,54
2020-07-04T00:00:00.000Z,16-19,11.98,90
2020-07-05T00:00:00.000Z,0-4,2.73,29
2020-07-05T00:00:00.000Z,5-11,6.21,70
2020-07-05T00:00:00.000Z,12-15,8.64,59
2020-07-05T00:00:00.000Z,16-19,12.66,97
2020-07-06T00:00:00.000Z,0-4,4.92,32
2020-07-06T00:00:00.000Z,5-11,8.15,74
2020-07-06T00:00:00.000Z,12-15,11.15,60
2020-07-06T00:00:00.000Z,16-19,18.23,101
2020-07-07T00:00:00.000Z,0-4,5.03,35
2020-07-07T00:00:00.000Z,5-11,9.52,81
2020-07-07T00:00:00.000Z,12-15,16.03,67
2020-07-07T00:00:00.000Z,16-19,27.51,112
2020-07-08T00:00:00.000Z,0-4,3.72,36
2020-07-08T00:00:00.000Z,5-11,10.25,91
2020-07-08T00:00:00.000Z,12-15,15.08,73
2020-07-08T00:00:00.000Z,16-19,19.58,112
