name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
קרית מלאכי,2.2,ירוק,3.7,0.0285714285714,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,51.77441879569539,45.8227224184671,
רבבה,4.8,צהוב,17.8,0.0148698884758,0, קטן מ-15 ,צהוב,2021-07-11T00:00:00.000Z,54.44166963967177,42.739921512665,
עספיא,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,57.82674169770944,52.421336292304034,0.0
באר יעקב,5.5,ירוק,4.9,0.0130597014925,-0.3,26,ירוק,2021-07-11T00:00:00.000Z,56.53411062530363,51.16593795544452,9.0
בית דגן,3.9,ירוק,9.6,0.0250896057347,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,65.68922992600712,59.79720471362017,
בית שמש,1.3,ירוק,0.5,0.0027088036117,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,32.64503441494592,27.50397095529839,
ביר אל-מכסור,2.1,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,60.03700277520814,55.19580635214307,
בת ים,4.1,ירוק,2.3,0.0081300813008,1.2307692307692,38,ירוק,2021-07-11T00:00:00.000Z,68.0908180195974,63.47086998716463,3.0
יאנוח-ג'ת,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,59.42520265291083,51.717022844509955,0.0
קרית ביאליק,2.2,ירוק,1.7,0.0076252723311,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,72.00384199783888,67.49189578580862,
ברכה,3.7,ירוק,3.5,0.0416666666666,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,41.82825484764543,34.03739612188366,
אבו רוקייק (שבט),2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,9.24476619056936,7.943650948933673,0.0
עפולה,2.5,ירוק,1.9,0.0117899249732,0.1000000000000001, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,62.17718668636971,57.85658996551967,
סלמה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,54.98676081200353,49.83818770226537,0.0
קודייראת א-צאנע(שבט),2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,4.865462587541467,4.165130851455952,0.0
גבעת זאב,1.5,ירוק,0.5,0.0029498525073,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,50.02343139807341,42.744077063264776,
אורנית,6.8,ירוק,26.6,0.0199004975124,1.4,26,ירוק,2021-07-11T00:00:00.000Z,75.42730299667036,68.82352941176471,28.9
כסרא-סמיע,2,צהוב,0.0,0,0, 0 ,צהוב,2021-07-11T00:00:00.000Z,58.1866785475607,51.71530407663176,0.0
זרזיר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,50.899867133711794,47.2158473245561,0.0
נס ציונה,4.8,ירוק,5.5,0.012987012987,1.8,32,ירוק,2021-07-11T00:00:00.000Z,66.92195044724136,60.91981318768305,6.3
ברקת,3.2,ירוק,4.8,0.0357142857142,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,39.95249406175772,33.58669833729216,
כפר יאסיף,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,63.67450482973949,58.27885647380232,0.0
אטרש (שבט),2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,8.087826570316842,6.670372429127293,0.0
צור הדסה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,52.49244060475162,47.559395248380135,0.0
גן נר,2.9,ירוק,3.7,0.0153846153846,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,79.11111111111111,72.74074074074073,
